date,ARKK_shares_adj,ARKQ_shares_adj,combined_shares_adj,ARKK_weight_pct,ARKQ_weight_pct,TSLA_close
2022-11-04,3011751.0,425503.0,3437254.0,9.12,10.2,207.47000122070312
2022-11-07,3007911.0,425503.0,3433414.0,9.04,9.8,197.0800018310547
2022-11-08,3011756.0,425503.0,3437259.0,8.67,9.28,191.3000030517578
2022-11-09,3047852.0,425503.0,3473355.0,8.43,9.07,177.58999633789062
2022-11-10,3100022.0,433628.0,3533650.0,8.45,8.98,190.72000122070312
2022-11-11,3148847.0,433628.0,3582475.0,7.94,8.96,195.97000122070312
2022-11-14,3227897.0,432557.0,3660454.0,7.54,8.97,190.9499969482422
2022-11-15,3252697.0,463570.0,3716267.0,7.62,9.62,194.4199981689453
2022-11-16,3281372.0,467570.0,3748942.0,7.54,9.59,186.9199981689453
2022-11-17,3279047.0,470274.0,3749321.0,7.62,9.59,183.1699981689453
2022-11-18,3254247.0,469107.0,3723354.0,7.63,9.53,180.19000244140625
2022-11-21,3209297.0,469107.0,3678404.0,7.64,9.42,167.8699951171875
2022-11-22,3184497.0,469107.0,3653604.0,7.39,8.95,169.91000366210938
2022-11-23,3184497.0,466773.0,3651270.0,7.46,9.03,183.1999969482422
2022-11-25,3187597.0,466773.0,3654370.0,7.81,9.52,182.86000061035156
2022-11-28,3176747.0,466773.0,3643520.0,7.87,9.5,182.9199981689453
